Admission grade,Age at enrollment,Application Mode,Application order,Course,Curricular units 1st sem (approved),Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Daytime/evening attendance,Debtor,Displaced,Educational special needs,Father's occupation,Father's qualification,Sum of GDP,Gender,Inflation rate,International,Marital status,Mother's occupation,Mother's qualification,Nationality Desc,Previous qualification,Previous qualification (grade),Scholarship holder,Target,Tuition fees up to date,Unemployment rate
117.2,20,2nd phase - general contingent,1,Veterinary Nursing,5,0,5,7,14.6,1,5,0,5,5,14.2,0,Daytime,No,No,No,Installation and Machine Operators and Assembly Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-1.7,Male,3.7,No,Single,Installation and Machine Operators and Assembly Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,128,No,Graduate,Yes,12.7
131.5,21,2nd phase - general contingent,1,Veterinary Nursing,0,0,5,10,0,1,2,0,5,9,13.5,0,Daytime,No,No,No,Intermediate Level Technicians and Professions,Basic education 1st cycle (4th/5th year) or equivalent,0.32,Female,2.6,No,Single,Legislative/Executive Directors and Managers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,121,No,Dropout,Yes,7.6
136.2,19,2nd phase - general contingent,1,Veterinary Nursing,5,0,5,7,13,1,5,0,5,7,13.33333333,0,Daytime,No,No,No,Intermediate Level Technicians and Professions,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,0.32,Female,2.6,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,139,No,Graduate,Yes,7.6
158.7,18,2nd phase - general contingent,2,Veterinary Nursing,6,0,6,7,14.85714286,0,6,0,6,7,14,0,Daytime,No,No,No,Intermediate Level Technicians and Professions,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,2.02,Female,0.6,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,166,No,Graduate,Yes,11.1
124.2,21,2nd phase - general contingent,3,Veterinary Nursing,2,0,5,8,11.5,0,2,0,5,7,10.5,0,Daytime,No,No,No,Other Situation,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Female,2.6,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,128,No,Dropout,No,7.6
127,19,2nd phase - general contingent,1,Veterinary Nursing,3,0,5,7,12,0,5,0,5,7,13.2,0,Daytime,No,No,No,Other Situation,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Female,2.6,No,Single,Other Situation,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,120,No,Graduate,Yes,7.6
122.3,19,2nd phase - general contingent,1,Veterinary Nursing,5,0,5,5,12.6,0,3,0,5,9,13,0,Daytime,No,No,No,Other Situation,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Female,2.6,No,Single,Student,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,137,Yes,Dropout,Yes,7.6
127.6,23,2nd phase - general contingent,1,Veterinary Nursing,4,0,5,6,14.25,0,5,0,5,6,13.4,0,Daytime,No,No,No,Other Situation,Can read without having a 4th year of schooling,0.32,Male,2.6,No,Single,Administrative staff,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,130,No,Graduate,Yes,7.6
141.6,21,2nd phase - general contingent,4,Veterinary Nursing,4,0,5,7,12.25,0,5,0,5,7,12,0,Daytime,No,No,No,Personal service workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,0.32,Male,2.6,No,Single,Personal service workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,137,No,Graduate,Yes,7.6
123.7,19,2nd phase - general contingent,4,Veterinary Nursing,5,0,5,11,11.71428571,2,5,0,5,6,12.6,0,Daytime,No,No,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,-3.12,Female,-0.8,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,140,No,Graduate,Yes,9.4
131.2,19,2nd phase - general contingent,1,Veterinary Nursing,1,0,5,8,11,0,5,0,5,6,11.2,0,Daytime,No,No,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,0.32,Female,2.6,No,Single,Specialists in Intellectual and Scientific Activities,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,134,No,Enrolled,Yes,7.6
111.1,21,2nd phase - general contingent,3,Veterinary Nursing,0,0,6,0,0,0,0,0,6,0,0,0,Daytime,No,No,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-4.06,Female,2.8,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,117,No,Dropout,Yes,15.5
115.8,18,2nd phase - general contingent,5,Veterinary Nursing,0,0,6,0,0,0,0,0,6,0,0,0,Daytime,No,No,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-1.7,Female,3.7,No,Single,Other Situation,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,130,No,Dropout,No,12.7
116.1,20,2nd phase - general contingent,1,Veterinary Nursing,3,0,5,12,11.66666667,2,4,0,5,11,11.5,1,Daytime,No,No,No,Specialists in Intellectual and Scientific Activities,Higher Education - Degree,-3.12,Female,-0.8,No,Single,Specialists in Intellectual and Scientific Activities,Higher Education - Bachelor's Degree,Portuguese,Secondary education,120,No,Graduate,Yes,9.4
119.1,20,2nd phase - general contingent,1,Veterinary Nursing,6,0,6,8,13.28571429,0,6,0,6,16,11.8,0,Daytime,No,No,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,1.79,Female,0.5,No,Single,Administrative staff,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,132,No,Graduate,Yes,12.4
129.9,19,2nd phase - general contingent,1,Veterinary Nursing,4,0,5,11,13.6,2,4,0,5,9,12.2,0,Daytime,No,No,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-3.12,Female,-0.8,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,140,No,Graduate,Yes,9.4
111.3,20,2nd phase - general contingent,3,Veterinary Nursing,0,0,6,0,0,0,0,0,6,0,0,0,Daytime,No,No,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,2.02,Female,0.6,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,120,No,Dropout,Yes,11.1
130,22,2nd phase - general contingent,1,Veterinary Nursing,3,0,5,8,13,0,3,0,5,8,10.66666667,0,Daytime,No,No,No,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Male,2.6,No,Single,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,133.1,No,Graduate,Yes,7.6
118.9,18,2nd phase - general contingent,2,Veterinary Nursing,3,0,5,5,14,0,3,0,5,7,12.66666667,0,Daytime,No,No,No,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Male,2.6,No,Single,Specialists in Intellectual and Scientific Activities,Higher Education - Degree,Portuguese,Secondary education,123,No,Enrolled,Yes,7.6
106,20,2nd phase - general contingent,4,Veterinary Nursing,6,0,6,9,13.16666667,0,4,0,6,8,14,0,Daytime,No,No,No,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,0.79,Female,-0.3,No,Single,Intermediate Level Technicians and Professions,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,106,No,Enrolled,Yes,13.9
117.6,18,2nd phase - general contingent,1,Veterinary Nursing,0,0,6,0,0,0,0,0,6,0,0,0,Daytime,No,No,No,"Unskilled workers in extractive industry, construction, manufacturing",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,1.79,Female,0.5,No,Single,Meal preparation assistants,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,127,No,Dropout,Yes,12.4
123.3,20,2nd phase - general contingent,1,Veterinary Nursing,6,0,6,6,14.83333333,0,6,0,6,8,12.14285714,0,Daytime,No,Yes,No,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,3.51,Female,1.4,No,Single,Specialists in Intellectual and Scientific Activities,Higher Education - Bachelor's Degree,Portuguese,Secondary education,128,Yes,Graduate,Yes,8.9
101.3,20,2nd phase - general contingent,1,Veterinary Nursing,4,0,6,12,12.8,0,0,0,6,17,0,0,Daytime,No,Yes,No,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,1.79,Male,0.5,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,130,No,Dropout,Yes,12.4
124.4,19,2nd phase - general contingent,4,Veterinary Nursing,6,0,6,14,15.66666667,0,6,0,6,9,14.5,0,Daytime,No,Yes,No,Armed Forces Professions,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-4.06,Female,2.8,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,123,No,Graduate,Yes,15.5
125.6,18,2nd phase - general contingent,1,Veterinary Nursing,4,0,5,8,11,1,3,0,5,8,14,0,Daytime,No,Yes,No,Armed Forces Professions,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-1.7,Female,3.7,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,135,No,Graduate,Yes,12.7
132.4,18,2nd phase - general contingent,1,Veterinary Nursing,6,0,6,8,13.85714286,0,6,0,6,15,13.1,0,Daytime,No,Yes,No,Installation and Machine Operators and Assembly Workers,Basic education 1st cycle (4th/5th year) or equivalent,1.79,Female,0.5,No,Single,Administrative staff,Higher Education - Degree,Portuguese,Secondary education,142,No,Graduate,Yes,12.4
130.2,20,2nd phase - general contingent,1,Veterinary Nursing,6,0,6,14,15.75,0,6,0,6,8,13,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Higher Education - Bachelor's Degree,-4.06,Female,2.8,No,Single,Specialists in Intellectual and Scientific Activities,Higher Education - Degree,Portuguese,Secondary education,141,No,Graduate,Yes,15.5
120.4,18,2nd phase - general contingent,1,Veterinary Nursing,6,0,6,10,14.7,0,6,0,6,10,12,0,Daytime,No,Yes,No,Legislative/Executive Directors and Managers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-0.92,Male,0.3,No,Single,Legislative/Executive Directors and Managers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,134,No,Graduate,Yes,16.2
129.3,19,2nd phase - general contingent,1,Veterinary Nursing,4,0,5,10,11.25,1,3,0,5,10,10.33333333,0,Daytime,No,Yes,No,Legislative/Executive Directors and Managers,Higher Education - Degree,-1.7,Female,3.7,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,131,No,Graduate,Yes,12.7
121.3,21,2nd phase - general contingent,3,Veterinary Nursing,2,0,5,14,13,2,4,0,5,8,12,1,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic education 1st cycle (4th/5th year) or equivalent,-3.12,Female,-0.8,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,130,No,Enrolled,Yes,9.4
130.8,18,2nd phase - general contingent,1,Veterinary Nursing,3,0,5,9,13.66666667,1,5,0,5,5,12,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-1.7,Female,3.7,No,Single,"Personal Services, Security and Safety Workers and Sellers",Higher Education - Degree,Portuguese,Secondary education,142,No,Graduate,Yes,12.7
123.9,21,2nd phase - general contingent,4,Veterinary Nursing,0,0,6,0,0,0,0,0,6,0,0,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Higher Education - Degree,1.74,Male,1.4,No,Single,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,126,No,Dropout,Yes,10.8
127.1,18,2nd phase - general contingent,1,Veterinary Nursing,6,0,6,7,15,0,6,0,6,7,16.42857143,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,2.02,Female,0.6,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,133,No,Graduate,Yes,11.1
125.4,20,2nd phase - general contingent,1,Veterinary Nursing,6,0,6,13,15.69230769,0,5,0,6,13,14.42857143,0,Daytime,No,Yes,No,Skilled workers in electricity and electronics,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-4.06,Female,2.8,No,Single,Cleaning workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,131,No,Graduate,Yes,15.5
123.3,19,2nd phase - general contingent,2,Veterinary Nursing,3,0,5,15,14,3,4,0,5,10,11.75,1,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,-3.12,Female,-0.8,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,138,No,Enrolled,Yes,9.4
122.2,20,2nd phase - general contingent,5,Veterinary Nursing,6,0,6,7,15.42857143,0,6,0,6,7,13.5,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,0.79,Female,-0.3,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,118,Yes,Graduate,Yes,13.9
113.9,20,2nd phase - general contingent,1,Veterinary Nursing,5,0,5,8,12,1,4,0,5,8,15,1,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-1.7,Female,3.7,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,124,Yes,Graduate,Yes,12.7
134.9,20,2nd phase - general contingent,4,Veterinary Nursing,4,0,5,7,12.4,0,5,0,5,9,12.66666667,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Can read without having a 4th year of schooling,0.32,Female,2.6,No,Single,Other Situation,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,138,No,Graduate,Yes,7.6
134.6,22,2nd phase - general contingent,1,Veterinary Nursing,0,0,6,16,0,0,0,0,6,7,0,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Secondary Education - 12th Year of Schooling or Equivalent,-0.92,Male,0.3,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,137,No,Dropout,Yes,16.2
117.9,20,2nd phase - general contingent,4,Veterinary Nursing,2,0,5,12,13.5,0,5,0,5,12,11.28571429,1,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,1.74,Female,1.4,No,Single,Administrative staff,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,128,No,Graduate,Yes,10.8
117,19,2nd phase - general contingent,1,Veterinary Nursing,4,0,5,6,12,0,5,0,5,8,13.33333333,1,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,1.74,Female,1.4,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,125,Yes,Graduate,Yes,10.8
99,23,2nd phase - general contingent,1,Veterinary Nursing,6,0,6,6,14.66666667,0,6,0,6,8,12.42857143,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,3.51,Female,1.4,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,133.1,Yes,Graduate,Yes,8.9
118.6,21,2nd phase - general contingent,1,Veterinary Nursing,6,0,6,6,14.5,0,6,0,6,8,14.66666667,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,3.51,Female,1.4,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,113,Yes,Graduate,Yes,8.9
118.2,18,2nd phase - general contingent,1,Veterinary Nursing,4,0,5,7,13.25,0,5,0,5,8,15.57142857,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,1.74,Female,1.4,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,129,Yes,Graduate,Yes,10.8
150.8,19,2nd phase - general contingent,1,Veterinary Nursing,6,0,6,13,16,0,6,0,6,8,14.5,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,-4.06,Female,2.8,Yes,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,English,Secondary education,163,No,Graduate,Yes,15.5
116.5,18,2nd phase - general contingent,1,Veterinary Nursing,5,0,5,6,12,0,5,0,5,8,12.14285714,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,1.74,Male,1.4,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,128,No,Graduate,Yes,10.8
118.4,21,2nd phase - general contingent,1,Veterinary Nursing,3,0,5,13,11.33333333,2,2,0,5,12,10.5,1,Daytime,No,Yes,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-3.12,Female,-0.8,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,125,No,Enrolled,Yes,9.4
120.4,20,2nd phase - general contingent,3,Veterinary Nursing,3,0,5,13,11.33333333,2,5,0,5,8,12.6,0,Daytime,No,Yes,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-3.12,Female,-0.8,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,134,No,Enrolled,Yes,9.4
112.4,19,2nd phase - general contingent,5,Veterinary Nursing,6,0,12,22,15.30769231,0,6,0,10,13,13.875,0,Daytime,No,Yes,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-4.06,Female,2.8,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,118,No,Graduate,Yes,15.5
113.6,19,2nd phase - general contingent,2,Veterinary Nursing,3,0,5,13,12,2,4,0,5,8,11.75,0,Daytime,No,Yes,No,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-3.12,Female,-0.8,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,123,No,Enrolled,Yes,9.4
142.2,18,2nd phase - general contingent,1,Veterinary Nursing,5,0,5,7,13.8,0,5,0,5,5,12.6,0,Daytime,No,Yes,No,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.74,Female,1.4,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,138,No,Graduate,Yes,10.8
126.8,18,2nd phase - general contingent,1,Veterinary Nursing,2,0,5,12,11.5,0,3,0,5,12,11.8,2,Daytime,No,Yes,No,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.74,Female,1.4,No,Single,Specialists in Intellectual and Scientific Activities,Higher Education - Bachelor's Degree,Portuguese,Secondary education,138,No,Enrolled,Yes,10.8
111.9,21,2nd phase - general contingent,3,Veterinary Nursing,0,0,5,11,0,0,5,0,5,10,12.28571429,1,Daytime,No,Yes,No,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,1.74,Male,1.4,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,121,No,Graduate,Yes,10.8
100,19,2nd phase - general contingent,2,Veterinary Nursing,5,0,6,10,12.5,0,2,0,6,19,13.5,0,Daytime,Yes,Yes,No,Legislative/Executive Directors and Managers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,1.79,Male,0.5,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,133.1,No,Dropout,No,12.4
104.1,21,2nd phase - general contingent,1,Veterinary Nursing,2,0,6,16,13,0,0,0,6,8,0,0,Daytime,Yes,Yes,No,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-4.06,Female,2.8,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,109,Yes,Dropout,No,15.5
111.9,19,3rd phase - general contingent,2,Advertising and Marketing Management,6,0,6,6,14.16666667,0,6,0,6,6,14,0,Daytime,No,Yes,No,Legislative/Executive Directors and Managers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,0.79,Male,-0.3,No,Single,Administrative staff,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,121,No,Graduate,Yes,13.9
120,19,3rd phase - general contingent,1,Advertising and Marketing Management,6,0,6,8,14.125,0,5,0,6,10,14.5,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Higher Education - Degree,2.02,Female,0.6,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,128,No,Graduate,Yes,11.1
130.2,22,3rd phase - general contingent,1,Advertising and Marketing Management,4,0,6,11,13,0,4,0,6,11,12.6,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,-1.7,Male,3.7,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,140,No,Graduate,Yes,12.7
115.2,19,3rd phase - general contingent,3,Advertising and Marketing Management,0,0,6,10,0,0,0,0,6,6,0,0,Daytime,No,Yes,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-1.7,Female,3.7,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,119,Yes,Dropout,Yes,12.7
121.5,19,3rd phase - general contingent,1,Advertising and Marketing Management,6,0,6,7,13,0,6,0,6,6,14.33333333,0,Daytime,No,Yes,No,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,1.79,Female,0.5,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,133,Yes,Graduate,Yes,12.4
101,21,3rd phase - general contingent,1,Agronomy,9,5,11,16,11.9,0,8,3,9,14,12.25,0,Daytime,No,No,No,Farmers and Skilled Agriculture/Fisheries/Forestry Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-4.06,Male,2.8,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,133.1,No,Graduate,Yes,15.5
116.8,23,3rd phase - general contingent,1,Animation and Multimedia Design,17,15,17,18,11.5,0,17,16,17,17,12.17647059,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Secondary Education - 12th Year of Schooling or Equivalent,1.79,Female,0.5,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,121,No,Graduate,Yes,12.4
117.7,20,3rd phase - general contingent,1,Animation and Multimedia Design,0,0,0,0,0,0,0,0,0,0,0,0,Daytime,Yes,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Higher Education - Bachelor's Degree,1.79,Male,0.5,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,110,Yes,Graduate,Yes,12.4
129.2,20,3rd phase - general contingent,4,Animation and Multimedia Design,0,0,0,0,0,0,0,0,0,0,0,0,Daytime,Yes,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Higher Education - Master's,-3.12,Male,-0.8,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,133,No,Dropout,No,9.4
126.1,18,3rd phase - general contingent,1,Basic Education,6,0,7,9,12.33333333,0,6,0,7,7,12.66666667,0,Daytime,No,No,No,"Personal Services, Security and Safety Workers and Sellers",Basic education 1st cycle (4th/5th year) or equivalent,2.02,Female,0.6,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,132,Yes,Graduate,Yes,11.1
115.8,18,3rd phase - general contingent,2,Basic Education,6,0,7,12,12,0,6,0,7,11,12.16666667,0,Daytime,No,No,No,Student,Secondary Education - 12th Year of Schooling or Equivalent,0.79,Female,-0.3,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,120,No,Enrolled,Yes,13.9
123.7,19,3rd phase - general contingent,4,Basic Education,5,0,6,8,12.66666667,0,5,0,6,8,11,0,Daytime,No,Yes,No,Armed Forces Professions,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-4.06,Female,2.8,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,123,No,Enrolled,Yes,15.5
120.3,19,3rd phase - general contingent,3,Basic Education,0,0,6,0,0,0,0,0,6,0,0,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic education 1st cycle (4th/5th year) or equivalent,1.74,Female,1.4,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,122,No,Dropout,Yes,10.8
105.8,19,3rd phase - general contingent,2,Basic Education,7,0,7,7,13.14285714,0,7,0,7,8,12.85714286,0,Daytime,No,Yes,No,Skilled construction workers (except electricians),Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,3.51,Female,1.4,No,Single,Cleaning workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,111,No,Graduate,Yes,8.9
110,20,3rd phase - general contingent,5,Basic Education,4,0,6,10,12.75,0,3,0,6,14,11.33333333,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,1.74,Female,1.4,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,110,No,Enrolled,Yes,10.8
